CODE,NUTS3,POPULATION,POP_DENS,POP_60,P_POP_60,P_MALES,POP 014,P_POP_0_14,POP 1529,P_POP_15_29,POP 3044,P_POP_30_44,POP 4559,P_POP_45_59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE_AREA,COVID19_D,COVID19_CCONF,DURATION_LD,LAG_LD,NO2,WIND,TEMP,NTI,PRESSURE,PRECIPITATION,SOLAR_RAD,LAI,PM25
FR,FRI22,117409,21,45851,39.05237,48.62319,15431,13.14294,14299,12.17879,16847,14.34899,24981,21.2769,2,57029,88250,5561.29,15,95,55,53,1.23414,3.29289,10.39766,2.03205,0.97321,71.54193,12358.31837,1.4955,10.39766
FR,FRI23,371934,67,117736,31.65508,47.69179,57269,15.39762,60642,16.30451,61498,16.53465,74789,20.10814,1,179767,218972,5522.44,25,282,55,53,1.22528,3.0882,11.15071,6.43056,1.02428,81.31567,12410.76403,1.59299,11.15071
FR,FRK21,655421,113,155969,23.79677,49.24804,128604,19.62159,105598,16.11148,127627,19.47252,137623,20.99765,5,271426,308213,5745.4,105,1469,55,53,2.22874,2.94352,10.14058,17.27311,0.97255,87.27914,12418.80553,1.38418,10.14058
FR,FRK22,327560,59,105051,32.07077,48.80236,53544,16.34632,44829,13.68574,54321,16.58353,69815,21.31365,2,145965,201082,5543.87,116,490,55,53,1.73165,3.76757,10.45271,8.45866,0.94387,78.7186,13525.52711,1.43343,10.45271
FR,FRK23,518620,79,146980,28.3406,48.61074,95640,18.44125,78629,15.1612,92893,17.91157,104478,20.14539,4,227578,268819,6533.34,128,865,55,53,1.86841,3.52206,10.84567,9.87574,0.951,82.38232,13932.49681,1.3467,10.84567
FR,FRK24,1264361,161,306961,24.27796,49.0231,238127,18.83378,228014,18.03393,236436,18.70004,254823,20.15429,2,542447,639166,7837.52,153,1778,55,53,2.36732,3.31611,8.89635,16.69022,0.87596,92.48222,13364.24088,1.44097,8.89635
FR,FRK25,763371,159,217744,28.52401,48.28779,137851,18.05819,128440,16.82537,131184,17.18483,148152,19.4076,1,338236,393846,4775.51,248,1192,55,53,1.82679,3.299,9.8074,15.17832,0.92979,68.41296,12560.80758,1.2781,9.8074
FR,FRK26,1887454,579,416024,22.04154,48.09293,356062,18.86467,399413,21.16147,372681,19.74517,343274,18.18715,5,827273,903646,3238.26,670,5862,55,53,1.94159,3.19607,10.60591,28.85258,0.98351,71.83621,12487.05042,1.10456,10.60591
FR,FRK27,433496,69,118459,27.32643,48.9384,73939,17.05644,69478,16.02737,80245,18.51113,91375,21.07863,2,195429,341340,6233.63,75,454,55,53,1.05712,3.38072,4.74135,14.15297,0.67126,110.214,13935.3783,1.59554,4.74135
FR,FRK28,831686,181,184738,22.21247,49.04002,159515,19.17971,136737,16.44094,179164,21.54226,171532,20.62461,6,360963,500246,4573.82,171,2153,55,53,1.93584,2.93263,6.56509,22.77751,0.77082,108.38887,13062.91674,1.73804,6.56509
FR,FRK11,333225,45,116284,34.89654,47.87066,49796,14.94366,46582,13.97914,51358,15.41241,69205,20.76825,2,160620,206793,7325.59,41,201,55,53,1.60831,2.9392,10.57415,5.66822,1.00684,61.71283,12200.93461,0.8325,10.57415
FR,FRK12,143725,25,52174,36.30127,48.90311,19912,13.85424,18190,12.65611,22357,15.5554,31092,21.63298,1,67963,100979,5747.14,9,85,55,53,0.87523,3.67313,8.57756,5.3221,0.87933,72.06709,13058.22633,1.6088,8.57756
FR,FRK13,227147,45,70983,31.24981,49.22979,37400,16.46511,32386,14.25773,37759,16.62316,48619,21.4042,1,101054,141983,4979.24,18,196,55,53,1.32134,3.77552,8.41216,8.55756,0.84967,69.87349,12981.01856,1.29985,8.41216
FR,FRK14,657909,82,186717,28.38037,48.38861,106551,16.1954,116155,17.65518,116704,17.73862,131782,20.03043,2,306384,382350,7966.82,45,839,55,53,1.39915,3.32544,9.08492,11.20064,0.90534,63.83119,12578.39576,1.43012,9.08492
FR,FRJ11,368518,58,123576,33.53323,47.98192,58818,15.96069,50195,13.62077,60189,16.33272,75740,20.55259,1,169218,258220,6342.18,59,510,55,53,1.22701,4.56524,12.66065,9.23063,1.10649,61.96847,13996.21861,1.75572,12.66065
FR,FRJ12,746999,127,223538,29.92481,48.17624,126942,16.9936,115352,15.44206,126798,16.97432,154369,20.66522,2,331366,418651,5859.89,98,1986,55,53,1.51838,4.10551,13.16566,15.55382,1.08182,66.82694,14245.53667,1.5361,13.16566
FR,FRJ13,1168742,188,322431,27.58787,47.86018,192932,16.50766,218924,18.73159,211332,18.08201,223123,19.09087,5,536271,706934,6219.84,124,4760,55,53,1.35124,4.98369,13.27719,17.20556,1.12328,57.79953,14137.89915,1.70567,13.27719
FR,FRJ14,75777,15,24806,32.73553,49.51898,11505,15.18271,11240,14.833,12130,16.0075,16096,21.24127,0,34626,60341,5156.72,1,42,55,53,1.14735,4.72046,7.97895,3.2063,0.81865,84.45704,13555.3442,1.21426,7.97895
